"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
92,99,0.964067712592216,0.0169598289711359,0.930983076357888,0.936324327315725,0.992355157762727,0.963931716260574,0.992355157762727,0.992355157762727,0.997692737683508,2020-04-05
93,100,0.979910771178093,0.0170704682738275,0.94684837294101,0.952145170486135,1.00839681994953,0.979708699083132,1.00839681994953,1.00839681994953,1.0138856124891,2020-04-06
94,101,0.978876868778272,0.0168909175248055,0.946062916344998,0.951235174076672,1.00686789743156,0.978781357260944,1.00686789743156,1.00686789743156,1.01220106411008,2020-04-07
95,102,0.997388606044027,0.0168127261635308,0.964597166210769,0.97000972228508,1.02511844240177,0.997304851448391,1.02511844240177,1.02511844240177,1.03063190134745,2020-04-08
96,103,0.970302835359008,0.016560398118292,0.938309333962238,0.943231921344076,0.997458062797209,0.970277698372932,0.997458062797209,0.997458062797209,1.00290137915404,2020-04-09
97,104,1.01332399529114,0.0169970931615375,0.980230625900689,0.985580828768682,1.04138286760223,1.01330888366883,1.04138286760223,1.04138286760223,1.04716938171042,2020-04-10
98,105,1.01239379755629,0.0170134241788989,0.979618377047395,0.984512670050657,1.04059539895612,1.01229495116423,1.04059539895612,1.04059539895612,1.04595702165781,2020-04-11
99,106,1.02808948723348,0.0169607497466577,0.995433759014179,1.0003827966415,1.05644284803784,1.02793545073113,1.05644284803784,1.05644284803784,1.06149143496343,2020-04-12
100,107,1.0509788167788,0.0173370562420581,1.01717818917977,1.0225760639923,1.07975466426021,1.05096400716177,1.07975466426021,1.07975466426021,1.08548606983457,2020-04-13
101,108,1.05791230597032,0.0176848817045846,1.02335724335211,1.02892198264592,1.08700576793124,1.05770991542594,1.08700576793124,1.08700576793124,1.0930678051791,2020-04-14
102,109,1.10098347684671,0.0186423333193623,1.06468909978927,1.07053545600023,1.13169703381888,1.100756674072,1.13169703381888,1.13169703381888,1.13819470935157,2020-04-15
103,110,1.10882897361577,0.019645721256292,1.07081784632748,1.07706310000135,1.14147152319409,1.10860587087219,1.14147152319409,1.14147152319409,1.14755542957401,2020-04-16
104,111,1.12314665448997,0.021302427680509,1.08161026278612,1.08823872506777,1.15825617060182,1.12294166896485,1.15825617060182,1.15825617060182,1.16507733999287,2020-04-17
105,112,1.10354416617966,0.0220903910427574,1.06209473656822,1.0678604290308,1.14014459822513,1.10305341655039,1.14014459822513,1.14014459822513,1.14735810636013,2020-04-18
106,113,1.10999700949238,0.0224885275138611,1.06764988243658,1.07418169686868,1.14810100541985,1.10919464580046,1.14810100541985,1.14810100541985,1.15530763963787,2020-04-19
107,114,1.17374429334667,0.0227301631473931,1.13143008334989,1.13763971036872,1.21248960842585,1.17301997150968,1.21248960842585,1.21248960842585,1.21960356995941,2020-04-20
108,115,1.16069110789953,0.0231252315307508,1.11700573772696,1.12350293783248,1.19922583906957,1.16009097507983,1.19922583906957,1.19922583906957,1.20683668830371,2020-04-21
109,116,1.1560762091632,0.0253801714879834,1.10852824816493,1.1150606290467,1.198623657148,1.15544610867463,1.198623657148,1.198623657148,1.20667294675071,2020-04-22
110,117,1.12732733897287,0.0257176912802241,1.07981735200769,1.08691571756915,1.17155314247356,1.12639411985284,1.17155314247356,1.17155314247356,1.17938617379727,2020-04-23
111,118,1.12033580562069,0.024691184389711,1.07483453589835,1.08153914671977,1.16261988663518,1.11924355677526,1.16261988663518,1.16261988663518,1.17063288040794,2020-04-24
112,119,1.1147215096907,0.0227907402996181,1.07292865435618,1.07890645685877,1.15416025276718,1.11371852400053,1.15416025276718,1.15416025276718,1.16151080063168,2020-04-25
113,120,1.08215719109564,0.0206829015186192,1.04377997623013,1.04934203434172,1.11731129222851,1.08145765435956,1.11731129222851,1.11731129222851,1.12379766159592,2020-04-26
114,121,1.08544095256137,0.0197827018629036,1.04833245396161,1.05402296174387,1.11916671288524,1.08487331895931,1.11916671288524,1.11916671288524,1.12563701544819,2020-04-27
